Month,Pressure
2013-1-30,4.823528767;5.264986327;5.490195274
2013-2-28,4.235293865;4.821559383;5.529411316
2013-3-30,4.313724995;4.712966907;5.098038673
2013-4-31,4.039215088;4.683596139;5.137253761
2013-5-30,3.999999523;4.622399228;5.137253761
2013-6-31,3.921568394;4.533496276;5.098038673
2013-7-30,4.039215088;4.581236733;5.137253761
2013-8-31,3.647058487;4.586196746;5.176469803
2013-9-30,0;4.619460476;5.176469803
2013-10-31,1.411764622;4.675816511;5.215685844
2013-11-30,4.156862259;4.724273301;5.215686
2013-12-31,4.313725;4.76482837;5.215686
